City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Thompson,40,CA,1627396845,63,55.7435,-97.8558,64.56,5.75
Santa Barbara,90,US,1627396845,94,34.7333,-120.0343,69.35,0.0
Cape Town,75,ZA,1627396845,57,-33.9258,18.4232,63.27,5.99
Sai Buri,45,TH,1627396846,78,6.7013,101.6168,80.71,9.35
Benalla,100,AU,1627396846,52,-36.55,145.9833,56.86,16.06
Pisco,20,PE,1627396846,82,-13.7,-76.2167,64.45,1.14
Puerto Ayora,50,EC,1627396847,69,-0.7393,-90.3518,73.36,11.54
Broome,1,US,1627396847,73,42.2506,-75.833,80.2,1.01
Hermanus,32,ZA,1627396847,72,-34.4187,19.2345,64.8,24.63
Goma,40,CD,1627396847,46,-1.6792,29.2228,75.49,6.91
Walvis Bay,0,NA,1627396848,22,-22.9575,14.5053,81.55,12.66
Saint Paul Harbor,1,US,1627396848,81,57.79,-152.4072,47.71,5.75
Busselton,93,AU,1627396848,63,-33.65,115.3333,48.09,12.15
East London,0,ZA,1627396849,14,-33.0153,27.9116,83.34,13.8
Longyearbyen,75,SJ,1627396849,87,78.2186,15.6401,46.24,5.75
Esperance,84,AU,1627396849,72,-33.8667,121.9,48.04,21.9
Kavieng,70,PG,1627396849,75,-2.5744,150.7967,82.76,13.47
Ushuaia,90,AR,1627396850,87,-54.8,-68.3,35.26,6.91
Katsuura,70,JP,1627396850,75,35.1333,140.3,80.71,9.6
Rikitea,96,PF,1627396850,74,-23.1203,-134.9692,74.28,17.07
Yellowknife,75,CA,1627396851,87,62.456,-114.3525,53.29,3.0
Sehithwa,0,BW,1627396851,22,-20.4667,22.7167,70.36,6.11
Kumul,4,CN,1627396851,13,42.8,93.45,92.93,6.33
Miastko,83,PL,1627396851,49,54.0028,16.9826,83.52,6.58
Port Lincoln,49,AU,1627396852,74,-34.7333,135.8667,56.1,29.44
Barkly West,2,ZA,1627396852,20,-28.5354,24.5215,67.28,14.5
Saskylakh,28,RU,1627396852,66,71.9167,114.0833,58.71,15.21
Gushikawa,75,JP,1627396853,86,26.3544,127.8686,81.63,10.36
Bilma,27,NE,1627396853,25,18.6853,12.9164,101.21,8.61
Jamestown,1,US,1627396853,63,42.097,-79.2353,82.18,8.99
Soyo,88,AO,1627396853,74,-6.1349,12.3689,82.45,13.47
Mataura,100,NZ,1627396854,86,-46.1927,168.8643,48.47,1.16
Cherskiy,83,RU,1627396854,91,68.75,161.3,34.5,16.42
Punta Arenas,75,CL,1627396727,87,-53.15,-70.9167,41.11,3.44
Atuona,10,PF,1627396659,71,-9.8,-139.0333,77.25,17.76
Cayenne,75,GF,1627396591,78,4.9333,-52.3333,87.84,1.99
Hervey Bay,2,AU,1627396855,76,-25.2986,152.8535,57.04,0.96
Yüksekova,4,TR,1627396855,14,37.5736,44.2872,88.43,15.05
Klaksvík,99,FO,1627396855,97,62.2266,-6.589,54.52,13.11
Iqaluit,75,CA,1627396855,66,63.7506,-68.5145,51.53,8.99
Castro,84,BR,1627396856,49,-24.7911,-50.0119,70.16,12.95
Mitsamiouli,23,KM,1627396856,75,-11.3847,43.2844,75.51,15.97
Aloleng,100,PH,1627396856,84,16.1307,119.7824,82.31,20.29
Erzin,0,TR,1627396857,54,36.9559,36.2,97.32,11.52
